French Phrase|English Translation|Literal Translation
Il étudie à l'université de Boston|He studies at Boston University.|He studies at the university of Boston.
Il fait beaucoup de vent|It's very windy.|It makes much of wind.
Il fait toujours ça pour moi|He always does that for me.|He does always that for me.
Il fait très froid aujourd'hui|It's very cold today.|It makes very cold today.
Il fera froid ce soir|It'll be cold this evening.|It will make cold this evening.
Il l'aime beaucoup|He likes it very much.|He it likes much.
Il n'a pas l'air d'un infirmier|He doesn't look like a nurse.|He not has not the air of a nurse.
Il ne me donne jamais rien|He never gives me anything.|He not me gives never nothing.
Il n'est jamais allé en Amérique|He's never been to America.|He not is never gone in America.
Il n'est pas censé pleuvoir aujourd'hui|it's not suppose to rain today.|He not is not supposed to rain today.
Il n'est pas là maintenant|He's not in right now.|He not is not there now.
Il n'y a personne pour l'instant|Nobody is there right now.|It not there has person for the instant.
Il pense que nous ne voulons pas y aller|He thinks we don't want to go.|He thinks that we not want not there to go.
Il pleut beaucoup|It's really raining hard (hot in prompt was likely typo).|It rains much.
Il pleut|It's raining.|It rains.
Il sera de retour dans vingt minutes|He'll be back in 20 minutes.|He will be of return in twenty minutes.
Il travaille pour une compagnie d'informatique à New York|He works at a computer company in New York.|He works for a company of information-technology at New York.
Il va faire chaud aujourd'hui|It's going to be hot today.|It goes to make hot today.
Il va neiger aujourd'hui|It's going to snow today.|It goes to snow today.
Il y a beaucoup de gens ici|There are many people here.|It there has much of people here.
Il y a des livres sur la table|There are some books on the table.|It there has some books on the table.
Il y a des pommes dans le réfrigérateur|There are some apples in the refrigerator.|It there has some apples in the refrigerator.
Il y a eu un accident de voiture|There has been a car accident.|It there has had an accident of car.
Il y a largement le temps|There's plenty of time.|It there has largely the time.
Il y a longtemps|A long time ago.|It there has long-time.
Il y a un livre sous la table|There's a book under the table.|It there has a book under the table.
Il y a un restaurant là-bas, mais je ne pense pas que c'est très bon|There's a restaurant over there...|It there has a restaurant there-down, but I not think not that it is very good.
Il y a un restaurant près d'ici|There's a restaurant near here.|It there has a restaurant near from here.
Ils comptent venir l'année prochaine|They're planning to come next year.|They count to come the year next.
Ils font payer vingt-six dollars par jour|They charge 26 dollars per day.|They make to pay twenty-six dollars per day.
Ils ne l'ont pas encore rencontrée|They haven't met her yet.|They not her have not yet met.
Ils nous attendent|They're waiting for us.|They us wait.
Ils sont arrivés hier|They arrived yesterday.|They are arrived yesterday.
Ils sont très occupés|They're very busy.|They are very occupied.
Ils vont revenir tout de suite|They'll be right back.|They go to come back all of suite.
J'abandonne|I give up.|I abandon.
J'ai acheté une chemise hier|I bought a shirt yesterday.|I have bought a shirt yesterday.
J'ai beaucoup de choses à faire|I have a lot of things to do.|I have much of things to do.
J'ai besoin d'aller chez moi|I need to go home.|I have need of to go at-house me.
J'ai besoin de ça pour y arriver d'ici demain|I need this to get there by tomorrow.|I have need of that for there to arrive from here tomorrow.
J'ai besoin de changer de vêtements|I need to change clothes.|I have need of to change of clothes.
J'ai besoin de mouchoirs|I need some tissues.|I have need of tissues.
J'ai besoin de pratiquer mon anglais|I need to practice my English.|I have need of to practice my English.
J'ai besoin d'un docteur|I need a doctor.|I have need of a doctor.
J'ai besoin d'une autre clé|I need another key.|I have need of another key.
J'ai besoin d'y aller maintenant|I need to go now.|I have need of there to go now.
J'ai de l'argent|I have money.|I have of the money.
J'ai déjà mangé|I ate already.|I have already eaten.
J'ai deux soeurs|I have two sisters.|I have two sisters.
J'ai encore à me brosser les dents et à prendre une douche|I still have to brush my teeth...|I have yet to me to brush the teeth and to take a shower.
J'ai encore beaucoup de choses à acheter|I still have a lot of things to buy.|I have yet much of things to buy.
J'ai encore beaucoup de choses à faire|I still have a lot to do.|I have yet much of things to do.
J'ai entendu dire que le Texas était beau comme endroit|I've heard Texas is a beautiful place.|I have heard to say that the Texas was beautiful like place.
J'ai eu un accident|I got in an accident.|I have had an accident.
J'ai faim|I'm hungry.|I have hunger.
J'ai fait ce gâteau|I made this cake.|I have made this cake.
J'ai fait une erreur|I made a mistake.|I have made an error.
J'ai fait une réservation|I have a reservation.|I have made a reservation.
J'ai froid|I'm cold.|I have cold.
J'ai ma propre voiture|I have one in my car (Natural was likely typo in prompt).|I have my own car.
J'ai mal à la gorge|My throat is sore.|I have bad/hurt at the throat.
J'ai mal à la tête|I have a headache.|I have bad/hurt at the head.
J'ai mal à l'estomac|My stomach hurts.|I have bad/hurt at the stomach.
J'ai mal dans le bras|I have pain in my arm.|I have bad/hurt in the arm.
J'ai perdu ma montre|I lost my watch.|I have lost my watch.
J'ai seulement cinq dollars|I only have 5 dollars.|I have only five dollars.
J'ai soif|I'm thirsty.|I have thirst.
J'ai trente-deux ans|I'm 32.|I have thirty-two years.
J'ai trois enfants, deux filles et un fils|I have three children...|I have three children, two girls and one son.
J'ai un rhume|I have a cold.|I have a cold.
J'ai une question à te poser|I have a question I want to ask you.|I have a question to to-you to pose.
J'ai vingt-six ans|I'm 26 years old.|I have twenty-six years.
J'aime la cuisine italienne|I like Italian food.|I like the kitchen/cooking Italian.
J'aime regarder la télé|I like to watch TV.|I like to watch the TV.
J'allais à la bibliothèque|I was going to the library.|I was going to the library.
J'allais quitter le restaurant quand mes amis sont arrivés|I was about to leave...|I was going to leave the restaurant when my friends are arrived.
J'arrive tout de suite|I'm coming right now.|I arrive all of suite.
J'arriverai sous peu|It will arrive shortly.|I will arrive under little.
Je cherche la poste|I'm looking for the post office.|I look for the post office.
Je comprends maintenant|I understand now.|I understand now.
Je comprends|I understand.|I understand.
Je dois aller à la poste|I have to go to the post office.|I must go to the post office.
Je dois laver mes vêtements|I have to wash my clothes.|I must wash my clothes.
Je fais un mètre quatre-vingt|"I'm 6'2""."|I make one meter eighty.
Je fais une taille huit|I'm a size 8.|I make a size eight.
Je l'ai déjà vu|I've already seen it.|I it have already seen.
Je l'ai vu|I've seen it.|I it have seen.
Je l'aime|I like her / I like it.|I him/her/it like.
Je lui dirai que tu as appelé|I'll tell him you called.|I to him will say that you have called.
Je m'appelle John Smith|My name is John Smith.|I me call John Smith.
Je m'apprête à sortir|I'm getting ready to go out.|I me ready to go out.
Je me sens bien|I feel good.|I me feel well.
Je me souviens|I remember.|I me remember.
Je m'en fiche|I don't care.|I me of it fix/care.
Je m'ennuie|I'm bored.|I me annoy.
Je n'ai jamais fait ça|I've never done that.|I not have never done that.
Je n'ai jamais vu ça avant|I've never seen that before.|I not have never seen that before.
Je n'ai pas assez d'argent|I don't have enough money.|I not have not enough of money.
Je n'ai pas d'argent|I don't have any money.|I not have not of money.
Je n'ai pas de petite amie|I don't have a girlfriend.|I not have not of little friend.
Je n'ai pas encore décidé|I still haven't decided.|I not have not yet decided.
Je n'ai pas encore déjeuné|I haven't had lunch yet.|I not have not yet lunched.
Je n'ai pas fini de manger|I haven't finished eating.|I not have not finished of to eat.
Je n'ai pas le temps maintenant|I don't have time right now.|I not have not the time now.
Je n'ai pas peur|I'm not afraid.|I not have not fear.
Je ne comprends pas ce que vous dites|I don't understand what your saying.|I not understand not that which you say.
Je ne comprends pas|I don't understand.|I not understand not.
Je ne l'aime pas|I don't like him / it.|I not him/it like not.
Je ne me sens pas bien|I don't feel well.|I not me feel not well.
Je ne parle pas très bien l'anglais|I don't speak English very well.|I not speak not very well the English.
Je ne parle pas très bien|I don't speak very well.|I not speak not very well.
Je ne pense pas|I don't think so.|I not think not.
Je ne sais pas m'en servir|I don't know how to use it.|I not know not me of it to serve.
Je ne sais pas|I don't know.|I not know not.
Je ne suis pas américain|I'm not American.|I not am not American.
Je ne suis pas encore prêt|I'm not ready yet.|I not am not yet ready.
Je ne suis pas marié|I'm not married.|I not am not married.
Je ne suis pas occupé|I'm not busy.|I not am not occupied.
Je ne suis pas sûr|I'm not sure.|I not am not sure.
Je ne veux pas ça|I don't want that.|I not want not that.
Je ne veux pas te déranger|I don't want to bother you.|I not want not you to disturb.
Je ne vous entends pas clairement|I can't hear you clearly.|I not you hear not clearly.
Je ne vous entends pas|I can't hear you.|I not you hear not.
Je n'en veux pas|I don't want it.|I not of it want not.
Je nettoie ma chambre|I'm cleaning my room.|I clean my room.
Je n'y suis pas allé|I haven't been there.|I not there am not gone.
Je n'y vais pas|I'm not going.|I not there go not.
Je paierai le dîner|I'll pay for dinner.|I will pay the dinner.
Je paierai les billets|I'll pay for the tickets.|I will pay the tickets.
Je paierai|I'll pay.|I will pay.
Je parle deux langues|I speak two languages.|I speak two languages.
Je parle un peu anglais|I speak a little English.|I speak a little English.
Je pars demain|I'm leaving Tomorrow.|I leave tomorrow.
Je pensais que les vêtements étaient plus chers|I thought the clothes were cheaper.|I thought that the clothes were more expensive.
Je pensais qu'il avait dit autre chose|I thought he said something else.|I thought that he had said other thing.
Je pense aussi|I think so.|I think also.
Je pense que ces chaussures sont très belles|I think those shoes are very good looking.|I think that these shoes are very beautiful.
Je pense que c'est bon|I think it tastes good.|I think that it is good.
Je pense que c'est très bon|I think it's very good.|I think that it is very good.
Je pense que j'ai besoin de voir un docteur|I think I need to see a doctor.|I think that I have need of to see a doctor.
Je pense que tu as trop de vêtements|I think you have too many clothes.|I think that you have too many of clothes.
Je peux nager|I can swim.|I can swim.
Je plaisante|I'm just kidding.|I pleasant/joke.
Je prendrai celui-ci aussi|I'll take that one also.|I will take this one also.
Je prendrai la même chose|I'll have the same thing.|I will take the same thing.
Je prendrai un verre d'eau s'il vous plaît|I'll have a glass of water please.|I will take a glass of water if it you pleases.
Je prendrai une tasse de thé s'il vous plaît|I'll have a cup of tea please.|I will take a cup of tea if it you pleases.
Je rappellerai plus tard|I'll call back later.|I will call back more late.
Je regarde|I'm just looking.|I look.
Je rentre à la maison dans quatre jours|I'm going home in four days.|I return to the house in four days.
Je reviendrai plus tard|I'll come back later.|I will come back more late.
Je reviens tout de suite|I'll be right back.|I come back all of suite.
Je sais|I know.|I know.
Je sors du travail à six heures|I get off of work at 6.|I exit of the work at six hours.
Je suis à mon compte|I'm self-employed.|I am at my account.
Je suis allé au supermarché, et ensuite au magasin d'informatique|I went to the supermarket...|I am gone to the supermarket, and then to the store of computer-science.
Je suis allergique aux fruits de mer|I'm allergic to seafood.|I am allergic to the fruits of sea.
Je suis américain|I'm American.|I am American.
Je suis célibataire|I'm single.|I am bachelor/single.
Je suis content|I'm happy.|I am happy/content.
Je suis d'accord|I agree.|I am of agreement.
Je suis débutant|I'm a beginner.|I am beginner.
Je suis désolé, nous sommes complets|I'm sorry, we're sold out.|I am desolated, we are complete/full.
Je suis désolé|I'm sorry.|I am desolated.
Je suis en attente|I'm on hold (phone).|I am in waiting.
Je suis fatigué|I'm tired.|I am tired.
Je suis ici depuis deux jours|I've been here for two days.|I am here since two days.
Je suis ici pour affaires|I'm here on business.|I am here for affairs.
Je suis inquiet aussi|I'm worried too.|I am worried also.
Je suis malade|I'm sick.|I am sick.
Je suis marié|I'm married.|I am married.
Je suis perdu|I'm lost.|I am lost.
Je suis prêt|I'm ready.|I am ready.
Je suis professeur|I'm a teacher.|I am professor.
Je suis repu|I'm full.|I am sated.
Je suis très occupé|I'm very busy.|I am very occupied.
Je suis très occupé - Je n'ai pas le temps maintenant|I'm very busy - I don't have time now.|I am very occupied - I not have not the time now.
Je suis un Américain|I'm an American.|I am an American.
Je suis venu avec ma famille|I came with my family.|I am come with my family.
Je t'aime|I love you.|I you love.
Je t'appellerai vendredi|I'll call you on Friday.|I you will call Friday.
Je t'apprendrai|I'll teach you.|I you will teach/learn.
Je t'attends|I'm waiting for you.|I you wait-for.
Je te crois|I believe you.|I you believe.
Je te donnerai un coup de fil|I'll give you a call.|I to-you will give a blow of wire/thread.
Je te fais confiance|I trust you.|I to-you make confidence.
Je te parlerai bientôt|I'll talk to you soon.|I to-you will speak soon.
Je t'emmenerai à l'arrêt de bus|I'll take you to the bus stop.|I you will lead to the stop of bus.
Je vais au lit|I'm going to bed.|I go to the bed.
Je vais bien, et toi ?|I'm fine, and you?|I go well, and you?
Je vais bien|I'm good.|I go well.
Je vais dîner|I'm going to go have dinner.|I go to dine.
Je vais en Amérique l'année prochaine|I'm going to America next year.|I go in America the year next.
Je vais le prendre|I'll take it.|I go it to take.
Je vais partir|I'm going to leave.|I go to leave.
Je vais très bien, merci|I'm very well, thank you.|I go very well, thanks.
Je veux acheter quelque chose|I want to buy something.|I want to buy something.
Je veux contacter notre ambassade|I want to contact our embassy.|I want to contact our embassy.
Je veux envoyer ce paquet aux Etats-Unis|I want to send this package...|I want to send this package to the States-United.
Je veux seulement un en-cas|I only want a snack.|I want only a snack.
Je veux te donner un cadeau|I want to give you a gift.|I want to you to give a gift.
Je veux te montrer quelque chose|I want to show you something.|I want to you to show something.
Je veux te poser une question|I want to ask you a question.|I want to you to pose a question.
Je viens d'Amérique|I'm from America.|I come from America.
Je viens te chercher|I'm coming to pick you up.|I come you to look for.
Je voudrais acheter quelque chose|I'd like to buy something.|I would want to buy something.
Je voudrais acheter une bouteille d'eau, s'il vous plaît|I'd like to buy a bottle of water, please.|I would want to buy a bottle of water, if it you pleases.
Je voudrais acheter une carte de téléphone s'il vous plaît|I'd like to buy a phone card please.|I would want to buy a card of phone if it you pleases.
Je voudrais aller au magasin|I'd like to go to the store.|I would want to go to the store.
Je voudrais aller chez moi|I'd like to go home.|I would want to go at-house me.
Je voudrais appeler les Etats-Unis|I'd like to call the United States.|I would want to call the States-United.
Je voudrais aussi de l'eau, s'il vous plaît|I'd like some water too, please.|I would want also some water, if it you pleases.
Je voudrais échanger ceci contre des dollars|I'd like to exchange this for Dollars.|I would want to exchange this against some dollars.
Je voudrais en avoir un|I wish I had one.|I would want of it to have one.
Je voudrais envoyer ça en Amérique|I'd like to send this to America.|I would want to send that in America.
Je voudrais envoyer un fax|I'd like to send a fax.|I would want to send a fax.
Je voudrais faire du shopping|I'd like to go shopping.|I would want to make some shopping.
Je voudrais faire une promenade|I'd like to go for a walk.|I would want to make a promenade/walk.
Je voudrais faire une réservation|I'd like to make a reservation.|I would want to make a reservation.
Je voudrais le numéro de l'hôtel Hilton s'il vous plaît|I'd like the number for the Hilton Hotel please.|I would want the number of the hotel Hilton if it you pleases.
Je voudrais louer une voiture|I'd like to rent a car.|I would want to rent a car.
Je voudrais manger au restaurant dans la cinquième rue|I'd like to eat at 5th street restaurant.|I would want to eat at the restaurant in the fifth street.
Je voudrais parler à Monsieur Smith s'il vous plaît|I'd like to speak to Mr. Smith please.|I would want to speak to Mister Smith if it you pleases.
Je voudrais passer un coup de téléphone|I'd like to make a phone call.|I would want to pass a blow of telephone.
Je voudrais un plan de la ville|I'd like a map of the city.|I would want a map of the city.
Je voudrais une chambre à deux lits s'il vous plaît|I'd like a room with two beds please.|I would want a room at two beds if it you pleases.
Je voudrais une chambre à un lit|I'd like a single room.|I would want a room at one bed.
Je voudrais une chambre non-fumeur|I'd like a non-smoking room.|I would want a room non-smoker.
Je voudrais une chambre|I'd like a room.|I would want a room.
Je voudrais une table près de la fenêtre|I'd like a table near the window.|I would want a table near of the window.
Je voudrais utiliser l'internet|I'd like to use the internet.|I would want to use the internet.
J'espère que votre femme et vous ferez un bon voyage|I hope you and your wife have a nice trip.|I hope that your wife and you will make a good voyage.
J'étais dans la bibliothèque|I was in the library.|I was in the library.
J'habite en Californie|I live in California.|I inhabit in California.
John part en vacances demain|John is going on vacation tomorrow.|John leaves in vacations tomorrow.
J'oublie|I forget.|I forget.
Joyeux anniversaire|Happy Birthday.|Joyous anniversary.
Juste ici|Right here.|Just here.
Juste là|Right there.|Just there.
Juste un moment|Just a moment.|Just a moment.
Juste un peu|Just a little.|Just a little.
J'y ai travaillé pendant cinq ans|I've worked there for five years.|I there have worked during five years.
J'y suis allé|I've been there.|I there am gone.
La date d'expiration|Expiration date.|The date of expiration.
La nourriture est délicieuse|The food was delicious.|The food is delicious.
La prochaine fois|Next time.|The next time.
La télé est cassée|The TV is broken.|The TV is broken.
La voiture est réparée|The car is fixed.|The car is repaired.
Là-bas|Over there.|There-down.
L'accident a eu lieu au croisement|The accident happened at the intersection.|The accident has had place at the crossing.
Laisse-moi vérifier|Let me check.|Leave me to verify.
laisse-moi y réfléchir|Let me think about it.|Leave me there to reflect.
L'avion part à cinq heures et demie de l'après-midi|The plane departs at 5:30P.|The plane leaves at five hours and half of the after-middle-day.
Le grand ou le petit ?|The big one or the small one?|The big or the little?
Le livre est à côté de la table|The book is next to the table.|The book is at side of the table.
Le livre est derrière la table|The book is behind the table.|The book is behind the table.
Le livre est dessus la table|The book is on top of the table.|The book is on-top the table.
Le livre est devant la table|The book is in front of the table.|The book is before the table.
Le livre est près de la table|The book is near the table.|The book is near of the table.
Le livre est sous la table|The book is under the table.|The book is under the table.
Le livre est sur la table|The book is on the table.|The book is on the table.
Le trois juillet|July 3rd (June 3rd in prompt was typo).|The three July.
Le vingt-deux octobre|October 22nd.|The twenty-two October.
Le vol dure combien de temps ?|How long is the flight?|The flight lasts how much of time?
Lequel est le meilleur ?|Which one is the best?|Which one is the best?
Lequel est meilleur ?|Which one is better?|Which one is better?
Lequel est moins cher ?|Which one is cheaper?|Which one is less expensive?
Lequel tu veux ?|Which one do you want?|Which one you want?
Lequel ?|Which one?|Which one?
Les affaires vont bien|Business is good.|The affairs go well.
Les livres sont chers|The books are expensive.|The books are expensive.
Les routes sont glissantes|The roads are slippery.|The roads are slippery.
Les voitures sont américaines|The cars are American.|The cars are American.
Ma fille est ici|My daughter is here.|My daughter is here.
Ma grand-mère est décédée l'année dernière|My grandmother passed away last year.|My grandmother is deceased the year last.
Ma maison est près de la banque|My house is close to the bank.|My house is near of the bank.
Ma valise a disparu|My luggage is missing.|My suitcase has disappeared.
Ma voiture a été heurtée par une autre voiture|My car was hit by another car.|My car has been hit by another car.
Ma voiture ne marche pas|My car isn't working.|My car not walks/works not.
Maintenant ou plus tard ?|Now or later?|Now or more late?
Mâle ou femelle ?|Male or female?|Male or female?
Merci beaucoup|Thank you very much.|Thanks much.
Merci Mademoiselle|Thank you miss.|Thanks Miss.
Merci Monsieur|Thank you sir.|Thanks Mister.
Merci pour ton aide|Thanks for your help.|Thanks for your aid.
Merci pour tout|Thanks for everything.|Thanks for all.
Merci|Thank you / Thanks.|Thanks.
Mets la voiture en marche|Start the car.|Put the car in walk/march.
Mon ami est américain|My friend is American.|My friend is American.
Mon anniversaire est le vingt-sept août|My birthday is August 27th.|My anniversary is the twenty-seven August.
Mon fils étudie l'informatique|My son studies computers.|My son studies the information-technology.
Mon fils|My son.|My son.
Mon père est avocat|My father is a lawyer.|My father is lawyer.
Mon père y est allé|My father has been there.|My father there is gone.
Mon portable n'a pas une bonne réception|My cell phone doesn't have good reception.|My portable (phone) not has not a good reception.
Mon portable ne marche pas|My cell phone doesn't work.|My portable (phone) not walks/works not.
Ne fais pas ça|Don't do that.|Not do not that.
Ne t'inquiète pas|Don't worry.|Not yourself worry not.
N'est-ce pas ?|Isn't it?|Not is it not?
N'importe quoi|Nonsense.|Not imports what.
Non, c'est la première fois|No, this is the first time.|No, it is the first time.
Non, je suis américain|No, I'm American.|No, I am American.
Non, merci|No, thank you.|No, thanks.
Non|No.|No.
Nos enfants sont en Amérique|Our children are in America.|Our children are in America.
Nous avons deux garçons et une fille|We have two boys and one girl.|We have two boys and one girl.
Nous l'aimons beaucoup|We like it very much.|We it like much.
Nous pouvons manger de la nourriture italienne ou chinoise|We can eat Italian or Chinese food.|We can to eat of the food Italian or Chinese.
Nous prendrons deux verres d'eau s'il vous plaît|We'll have two glasses of water please.|We will take two glasses of water if it you pleases.
Nous sommes en retard|We're late.|We are in delay.
Nous venons de Californie|We're from California.|We come from California.
On a volé ma montre|My watch has been stolen.|One has stolen my watch.
Où est la boîte aux lettres ?|Where's the mail box?|Where is the box to the letters?
Où est la gare routière ?|Where is the bus station?|Where is the station road?
Où est la pharmacie ?|Where's the pharmacy?|Where is the pharmacy?
Où est la poste ?|Where's the post office?|Where is the post office?
Où est la rue principale ?|Where is Main Street?|Where is the street principal?
Où est l'aéroport ?|Where is the airport?|Where is the airport?
Où est le restaurant le plus proche ?|Where's the closest restaurant?|Where is the restaurant the most near?
Où est l'hôpital le plus proche ?|Where's the nearest hospital?|Where is the hospital the most near?
Où est ma chemise ?|Where is my shirt?|Where is my shirt?
Où est-ce que ça fait mal ?|Where does it hurt?|Where is it that that makes bad/hurt?
Où est-ce que ça s'est passé ?|Where did it happen?|Where is it that that itself is passed?
Où est-ce que je peux acheter des billets ?|Where can I buy tickets?|Where is it that I can buy some tickets?
Où est-ce que je peux changer des dollars américains ?|Where can I exchange U.S. dollars?|Where is it that I can change some dollars Americans?
Où est-ce que je peux louer une voiture ?|Where can I rent a car?|Where is it that I can rent a car?
Où est-ce que je peux poster ça ?|Where can I mail this?|Where is it that I can post that?
Où est-ce que je peux trouver un hôpital ?|Where can I find a hospital?|Where is it that I can find a hospital?
Où est-ce que ta femme travaille ?|Where does your wife work?|Where is it that your wife works?
Où est-ce que tu as appris l'anglais ?|Where did you learn English?|Where is it that you have learned the English?
Où est-ce que tu habites ?|Where do you live?|Where is it that you inhabit?
Où est-ce que tu l'as appris ?|Where did you learn it?|Where is it that you it have learned?
Où est-ce que tu l'as mis ?|Where did you put it?|Where is it that you it have put?
Où est-ce que tu travaillais avant de travailler ici ?|Where did you work before...?|Where is it that you worked before of to work here?
Où est-ce que tu travailles ?|Where do you work?|Where is it that you work?
Où est-ce qu'il y a un distributeur de billets ?|Where is there an ATM?|Where is it that it there has a distributor of tickets?
Où est-ce qu'il y a un docteur qui parle anglais ?|Where is there a doctor who speaks English?|Where is it that it there has a doctor who speaks English?
Où est-ce ?|Where is it?|Where is it?
Où est-il ?|Where is he?|Where is he?
Où es-tu allé ?|Where did you go?|Where are you gone?
Où es-tu ?|Where are you?|Where are you?
Où étais-tu ?|Where were you?|Where were you?
Où sont les tee-shirts ?|Where are the t-shirts?|Where are the t-shirts?
Où sont les toilettes ?|Where is the bathroom?|Where are the toilets?
Où trouve-t-on un distributeur de billets ?|Where is an ATM?|Where finds one a distributor of tickets?
Où vas-tu aller ?|Where are you going to go?|Where go you to go?
Où vas-tu ?|Where are you going?|Where go you?
Où veux-tu aller ?|Where do you want to go?|Where want you to go?
Où voudrais-tu aller ?|Where would you like to go?|Where would want you to go?
Où voudrais-tu qu'on se retrouve ?|Where would you like to meet?|Where would want you that one ourselves find-again?
Oui, vraiment|Yes, really.|Yes, truly.
Oui|Yes.|Yes.
Ouvre la fenêtre|Open the window.|Open the window.
Ouvre la porte|Open the door.|Open the door.
Par là|That way.|By there.
Partageons|Let's share.|Let us share.
Pas de problème|No problem.|Not of problem.
Pas encore|Not yet.|Not yet.
Pas récemment|Not recently.|Not recently.
Pendant combien de temps est-ce que tu vas rester en Californie ?|How long are you going to stay...?|During how much of time is it that you go to stay in California?
Pendant combien de temps est-ce que tu vas rester ?|How long are you going to stay?|During how much of time is it that you go to stay?
Personne ne nous aide|Nobody is helping us.|Person not us helps.
Peu importe|Never mind.|Little imports.
Peut-être|Maybe.|Can to be.
Peux-tu recommander un bon restaurant ?|Can you recommend a good restaurant?|Can you recommend a good restaurant?
Plus de deux cents kilomètres|More than 200 miles (km in French).|More of two hundred kilometers.
Plus que ça|More than that.|More than that.
Pour combien de nuits ?|For how many nights?|For how many of nights?
Pourquoi est-ce que tu as dit ça ?|Why did you say that?|Why is it that you have said that?
Pourquoi est-ce que tu as fait ça ?|Why did you do that?|Why is it that you have done that?
Pourquoi est-ce que tu ne pars pas ?|Why aren't you going?|Why is it that you not leave not?
Pourquoi est-ce que tu ris ?|Why are you laughing?|Why is it that you laugh?
Pourquoi pas ?|Why not?|Why not?
Pourrais tu me passer une serviette s'il te plaît ?|Will you hand me a towel please?|Could you me pass a towel if it you pleases?
Pourrais-je parler à madame Smith s'il vous plaît ?|May I speak to Mrs. Smith please?|Could I speak to Madam Smith if it you pleases?
Pourrais-tu m'appeler un taxi s'il te plaît ?|Will you call me a taxi please?|Could you me to call a taxi if it you pleases?
Pourrais-tu me faire passer le sel s'il te plaît ?|Will you pass me the salt please?|Could you me to make pass the salt if it you pleases?
Pourrais-tu me rappeler ?|Will you remind me?|Could you me call-back/remind?
Pourrais-tu m'emmener chez moi ?|Will you take me home?|Could you me lead at-house me?
Pourrais-tu mettre ça dans la voiture s'il te plaît ?|Will you put this in the car...?|Could you put that in the car if it you pleases?
Pourriez-vous lui demander de me rappeler s'il vous plaît ?|Would you ask him to call me back...?|Could you to him ask of me to call-back if it you pleases?
Pourriez-vous lui demander de venir ici ?|Would you ask him to come here?|Could you to him ask of to come here?
Pouvez-vous m'aider ?|Can you help me?|Can you me to help?
Pouvez-vous parler plus fort s'il vous plaît ?|Can you speak louder please?|Can you speak more strong if it you pleases?
Pouvez-vous répéter s'il vous plaît ?|Can you repeat that please?|Can you repeat if it you pleases?
Pratiquons l'anglais|Let's practice English.|Let us practice the English.
Prenez ce médicament|Take this medicine.|Take this medicine.
Près de la banque|Near the bank.|Near of the bank.
Quand déménagez-vous ?|When are you moving?|When demenage (move house) you?
Quand est la dernière fois que tu as parlé à ta mère ?|When was the last time...?|When is the last time that you have spoken to your mother?
Quand est le prochain bus pour Philadelphie ?|When is the next bus to Philadelphia?|When is the next bus for Philadelphia?
Quand est ton anniversaire ?|When is your birthday?|When is your anniversary?
Quand est-ce que ça sera prêt ?|When will it be ready?|When is it that that will be ready?
Quand est-ce que c'est arrivé ?|When did this happen?|When is it that it is arrived?
Quand est-ce que la banque ouvre ?|When does the bank open?|When is it that the bank opens?
Quand est-ce que l'avion arrive ?|When does the plane arrive?|When is it that the plane arrives?
Quand est-ce que le bus part ?|When does the bus leave?|When is it that the bus leaves?
Quand est-ce que nous arrivons ?|When do we arrive?|When is it that we arrive?
Quand est-ce que nous partons ?|When do we leave?|When is it that we leave?
Quand est-ce que tu arrives aux Etats-Unis ?|When do you arrive in the U.S.?|When is it that you arrive at the States-United?
Quand est-ce que tu commences le travail ?|When do you start work?|When is it that you start the work?
Quand est-ce que tu es arrivé à Boston ?|When did you arrive in Boston?|When is it that you are arrived at Boston?
Quand est-ce que tu sors du travail ?|When do you get off work?|When is it that you exit of the work?
Quand est-ce qu'il arrive ?|When does he/it arrive?|When is it that he arrives?
Quand est-ce qu'il va rentrer ?|When will he be back?|When is it that he goes to return?
Quand je suis allé au magasin, ils n'avaient pas de pommes.|When I went to the store...|When I am gone to the store, they not had not of apples.
Quand pars-tu ?|When are you leaving?|When leave you?
Quand reviens-tu ?|When are you coming back?|When come back you?
Quand vas-tu chercher ton ami ?|When are you going to pick up your friend?|When go you to look for your friend?
Quand viennent-ils ?|When are they coming?|When come they?
Quand voudriez-vous qu'on se rencontre ?|When would you like to meet?|When would want you that one ourselves meet?
Que penses-tu de ces chaussures ?|What do you think of these shoes?|What think you of these shoes?
Que puis-je faire pour vous ?|What can I do for you?|What can I to do for you?
Que veut dire ce mot ?|What does this word mean?|What wants to say this word?
Quel âge as-tu ?|How old are you?|What age have you?
Quel est le numéro de téléphone ?|What's the phone number?|What is the number of telephone?
Quel est le prix d'une chambre ?|What's the room rate?|What is the price of a room?
Quel est le problème ?|What's the matter?|What is the problem?
Quel est le tarif pour une nuit ?|What's the charge per night?|What is the tariff for a night?
Quel est le taux de change pour le dollars ?|What's the exchange rate for dollars?|What is the rate of exchange for the dollar?
Quel est le taux de change ?|What's the exchange rate?|What is the rate of exchange?
Quel est l'indicatif ?|What is the area code?|What is the indicative?
Quel est votre nom de famille ?|What's your last name?|What is your name of family?
Quel films est-ce que tu préfères ?|What's your favorite movie?|What movies is it that you prefer?
Quel goût est-ce que ça a ?|How does it taste?|What taste is it that that has?
Quel jour de la semaine sommes-nous ?|What day of the week is it?|What day of the week are we?
Quel jour est-ce qu'ils viennent ?|What day are they coming over?|What day is it that they come?
