Tags	Traveler Usefulness (1-10)	English	Romanji	Japanese
Groceries; Shopping	2	I always buy too many groceries when I am hungry.	Watashi wa onaka ga suite kaimono ni iku to itsumo shokuryo o kaisugite shimau.	私はお腹が空いて買い物に行くといつも食料を買いすぎてしまう。
Daily Habits; Shopping	4	I buy coffee at Starbucks everyday.	Mainichi, Sutabakkusu de kohi o kau.	毎日、スターバックスでコーヒーを買う。
Clothing; Shopping	7	I like kimonos.	Watashi wa kimono ga suki desu.	私は着物が好きです。
Clothing; Shopping	7	Where can I buy Japanese socks?	Tabi wa doko de kaemasuka?	足袋はどこで買えますか？
Clothing; Shopping	7	Where can I buy Japanese sandals?	Zori wa doko de kaemasuka?	草履はどこで買えますか？
Clothing; Shopping	7	Do you have a yukata?	Yukata ga arimasu ka.	浴衣がありますか。
Clothing; Shopping	8	Where can I buy a kimono?	Kimono wa doko de kaemasu ka?	着物はどこで買えますか？
Locations; Asking for Directions	10	Is there a convenience store around here?	Konbini wa chikaku ni arimasu ka?	コンビニは近くにありますか？
Services; Questions	9	Does this store have Wi-Fi?	Kono o-mise ni wa WaiFai arimasu ka.	このお店にはWi-Fiありますか。
Locations; Asking for Directions	10	Is there a convenience store nearby?	Konbini wa chikaku ni arimasu ka.	コンビニは近くにありますか？
Instructions; Directions	9	Go straight.	Massugu susumu.	まっすぐ進む。
Instructions; Directions	9	Turn right.	Migi ni magaru.	右に曲がる。
Instructions; Directions	9	Turn left.	Hidari ni magaru.	左に曲がる。
Instructions; Directions	8	Turn right at the dead end.	Tsukiatari de migi ni magaru.	突き当たりで右に曲がる。
Instructions; Directions	8	Go straight until the second traffic signal.	Futatsume no shingo made massugu susumu.	二つ目の信号までまっすぐ進む。
Using Landmarks; Directions	9	Turn right at the convenience store.	Konbini de migi ni magaru.	コンビニで右に曲がる。
Using Landmarks; Directions	9	Turn left at the bank.	Ginko de hidari ni magaru.	銀行で左に曲がる。
Using Landmarks; Directions	9	Turn right at the post office.	Yubinkyoku de migi ni magaru.	郵便局で右に曲がる。
Instructions; Directions	9	Turn left at the next traffic signal.	Tsugi no shingo wo hidari ni magatte kudasai.	次の信号を左に曲がってください。
Transportation; Directions	8	I will get off at the third station.	Mittsume no eki de orimasu.	三つ目の駅で降ります。
Instructions; Directions	8	Turn right at the fourth traffic signal.	Yottsu-me no shingo de migi ni magarimasu.	四つ目の信号で右に曲がります。
Instructions; Directions	8	Go straight until the fifth corner.	Itsutsu-me no kado made susumimasu.	五つ目の角まで進みます。
Instructions; Directions	8	Turn left at the first traffic signal.	Hitotsu-me no shingo wo hidari ni magarimasu.	一つ目の信号を左に曲がります。
Instructions; Directions	8	Then go straight.	Soshite, massugu ikimasu.	そして、まっすぐ行きます。
Instructions; Directions	8	Then turn left at the third traffic signal.	Sanban-me no shingo wo hidari ni magarimasu.	三番目の信号を左に曲がります。
Finding Places; Directions	3	He has to find a bank that offers a better service.	Kare wa motto sabisu no yoi ginko o mitsukeru beki da.	彼はずっとサービスのよい銀行を見つけるべきだ。
Locations; Directions	7	There's a Bank of Japan in Nihonbashi.	Nihonbashi ni Nihon-ginko ga arimasu.	日本橋に日本銀行があります。
Locations; Directions	8	There is a post office on this street.	Kono tori ni yubinkyoku ga arimasu.	この通りに郵便局があります。
Using Landmarks; Directions	9	Go straight and turn right at the post office.	Massugu itte, yubinkyoku de migi ni magaru.	まっすぐ行って、郵便局で右に曲がる。
Instructions; Directions	9	Please go straight.	Massugu susunde kudasai.	まっすぐ進んでください。
Instructions; Directions	9	Please turn left.	Hidari ni magatte kudasai.	左に曲がってください。
Locations; Directions	8	There is a good ramen shop to the left of the convenience store.	Konbini no hidari ni oishii ramen-ya ga arimasu.	コンビニの左においしいラーメン屋があります。
Instructions; Directions	9	Please turn right.	Migi ni magatte kudasai.	右に曲がってください。
Locations; Directions	9	There is a convenience store on the right side.	Migi ni konbini ga arimasu.	右にコンビニがあります。
Common Phrases; Progress	2	I've done five lessons.	Itsusu-me no ressun made owarimashita.	五つ目のレッスンまで終わりました。
Instructions; Directions	8	Turn right at the dead end.	Tsuki atari de migi ni magaru.	突き当たりで右に曲がる。
Social; Photos	8	Please take our picture.	Shashin o totte kudasai.	写真を撮ってください。
Social; Photos	7	Please let me take your picture.	Shashin o torasete kudasai.	写真を撮らせてください。
Social; Photos	7	Please let me take a picture with you.	Shashin o issho ni torasete kudasai.	写真を一緒に撮らせてください。
Social; Making Plans	5	Let's go to a concert together.	Issho ni konsato ni ikimasho.	一緒にコンサートに行きましょう。
Social; Making Plans	4	We should go to the party together.	Bokutachi issho ni pati ni iko yo.	僕たち一緒にパーティーに行こうよ。
Social; Photos	8	Photo, take, please.	Shashin o totte kudasai.	写真を撮ってください。
Social; Photos	7	Photo, let me take, please.	Shashin o torasete kudasai.	写真を撮らせてください。
Social; Photos	7	Photo, together, let me take, please.	Shashin o issho ni torasete kudasai.	写真を一緒に撮らせてください。
Social; Contact Info	7	Please give me your email address.	Meru adoresu o oshiete kudasai.	メールアドレスを教えてください。
Social; Contact Info	6	This is my email address.	Watashi no meru adoresu desu.	私のメールアドレスです。
Social; Communication	4	I will email often.	Hinpan ni meru shimasu.	頻繁にメールします。
Social; Communication	4	I will email from time to time.	Tokidoki meru shimasu.	時々メールします。
Social; Contact Info	7	Please give me your cell phone email address.	Keitai no meado wo oshiete kudasai.	携帯のメアドを教えてください。
Social; Communication	5	I will do email.	Meru shimasu.	メールします。
Translation; Language Help	9	How do you say it in Japanese?	Kore wa nihongo de do iimasu ka?	これは日本語でどう言いますか？
Translation; Language Help	9	How do you say [ ] in Japanese?	[ ] wa nihongo de do iimasu ka?	[ ]は日本語でどう言いますか？
Gratitude; Expressing Thanks	10	Thank you very much.	Domo arigato gozaimasu.	どうもありがとうございます。
Identification; Questions	10	What is this?	Kore wa nan desu ka.	これは何ですか。
Questions; Ownership	5	Huh? Is this mine?	Are? Kore wa watashi no desu ka.	あれ？これは私のですか？
Common Phrases; Events	2	Today is Christmas.	Kyo wa Kurisumasu desu.	今日はクリスマスです。
Comprehension; Language Help	9	I don't understand Japanese.	Nihongo, wakarimasen.	日本語、わかりません。
Opinion; Questions	7	How is the taste?	Aji wa do desu ka.	味はどうですか。
Translation; Language Help	9	How do you say this in Japanese?	Kore wa nihongo de do imasu ka.	これは日本語でどう言いますか。
Translation; Language Help	8	Cold in Japanese.	Kōrudo wa nihongo de.	コールドは日本語で。
Translation; Language Help	8	This in Japanese?	Nihongo de wa?	日本語では？
Writing; Language Help	8	Please write it down.	Kaite kudasai.	書いてください。
Writing; Language Help	8	Please write it in romanized letters (alphabet).	Romaji de kaite kudasai.	ローマ字で書いてください。
Writing; Language Help	7	Please write it in English.	Eigo de kaite kudasai.	英語で書いてください。
Requests; Food & Drink	10	Can I have some water, please?	Mizu o kudasai.	水をください。
Comprehension; Language Help	10	Do you understand English?	Eigo ga wakarimasu ka.	英語がわかりますか。
Language Help; Writing Systems	2	Kanji is interesting.	Kanji wa omoshiroi desu.	漢字は面白いです。
Language Help; Writing Systems	3	Please teach me hiragana.	Hiragana wo oshiete kudasai.	ひらがなを教えてください。
Language Help; Writing Systems	3	I don't know Katakana.	Katakana wa wakarimasen.	カタカナはわかりません。
Language Help; Reading	9	How do you read this?	Kore wa do yomimasu ka?	これはどう読みますか？
Language Help; Meaning	9	What does that mean?	Sore wa doiu imi desu ka?	それはどういう意味ですか？
Identification; Questions	10	What is this?	Kore wa nan desu ka.	これは何ですか。
Questions; Ownership	5	Huh? Is this mine?	Are? Kore wa watashi no desu ka.	あれ？これは私のですか？
Opinion; Questions	7	How is the taste?	Aji wa do desu ka.	味はどうですか。
Language Help; Reading	9	How do you read this?	Kore wa do yomimasu ka.	これはどう読みますか。
Identification; Questions	10	What is that?	Sore wa nan desu ka.	それは何ですか。
Requests; General	10	I'll take that.	Sore kudasai.	それください。
Language Help; Meaning	9	What does this mean?	Kore wa doiu imi desu ka.	これはどういう意味ですか。
Comprehension; Language Help	10	I don't understand what you mean.	Imi ga wakarimasen.	意味が分かりません。
Language Help; Writing Systems	3	Please teach me hiragana.	Hiragana wo oshiete kudasai.	ひらがなを教えてください。
Language Help; Writing Systems	3	I don't know Katakana.	Katakana wa wakarimasen.	カタカナはわかりません。
At the Hotel; Amenities	9	Do you have a power converter?	Denryokuhenkanki wa arimasu ka?	電力変換器はありますか？
At the Hotel; Amenities	9	Do you have a hair dryer?	Doraiya wa arimasu ka.	ドライヤーはありますか？
At the Hotel; Amenities	8	Do you have an iron?	Airon wa arimasu ka.	アイロンはありますか？
At the Hotel; Services	8	Can I use the internet?	Intanetto o shitemo i desu ka.	インターネットをしてもいいですか？
At the Hotel; Amenities	9	Do you have power converters?	Denryoku henkanki wa arimasu ka?	電力変換器はありますか？
At the Hotel; Amenities	9	Do you have a hair dryer?	Doraiya wa arimasu ka?	ドライヤーはありますか？
At the Hotel; Amenities	8	Do you have an iron?	Airon wa arimasu ka.	アイロンはありますか？
At the Hotel; Amenities	7	Do you have a computer?	Paso-kon wa arimasu ka?	パソコンはありますか？
At the Hotel; Services	8	Do you have room service?	Rumusabisu wa arimasu ka?	ルームサービスはありますか？
At the Hotel; Food	6	Do you have sushi?	Sushi wa arimasu ka?	寿司はありますか？
At the Hotel; Food	6	Do you have tempura?	Tempura wa arimasu ka?	天ぷらはありますか？
At the Hotel; Food	8	Do you have coffee?	Kohi wa arimasu ka?	コーヒーはありますか？
At the Hotel; Services	7	Do you have massage services?	Massaji wa arimasu ka?	マッサージはありますか？
At the Hotel; Services	8	Do you have laundry service?	Randori sabisu wa arimasu ka?	ランドリーサービスはありますか？
At the Hotel; Services	8	Room service, please.	Rumusabisu wo o-negai shimasu.	ルームサービスをお願いします。
Occupations; Arts & Media	1	He is the producer.	Kare wa purodusa desu.	彼はプロデューサーです。
Service; Occupations	2	I'm a hairdresser.	Watashi wa hea sutairisuto desu.	私はヘアスタイリストです。
Service; Occupations	2	My friend is a hair stylist.	Tomodachi wa biyoshi desu.	友達は美容師です。
At the Hotel; Room Features	5	Where is the TV?	Terebi wa doko desu ka.	テレビはどこですか。
At the Hotel; Room Features	4	Where is the radio?	Rajio wa doko desu ka.	ラジオはどこですか。
At the Hotel; Services	8	Laundry service, please.	Randorisabisu wo o-negai shimasu.	ランドリーサービスをお願いします。
Common Responses; Disagreement / Correction	7	No, that's wrong.	Iie, chigaimasu.	いいえ、違います。
Occupations; Arts & Media	1	My girlfriend is an artist.	Boku no kanojo wa atisuto desu.	僕の彼女はアーティストです。
Postal Service; Sending Items	6	I'm sending this to New York.	Nyuyoku e okurimasu.	ニューヨークへ送ります。
Postal Service; Sending Items	6	I'm sending a postcard to New York.	Hagaki o nyuyoku e okurimasu.	葉書をニューヨークへ送ります。
General; Telling Time	3	It's 1:00 in New York.	Nyu Yoku wa ichi-ji desu.	ニューヨークは一時です。
Postal Service; Sending Items	5	I'll send a postcard to my friend.	Hagaki wo tomodachi ni okurimasu.	葉書を友達に送ります。
Postal Service; Comments	3	It's a beautiful postcard isn't it.	Kirei na hagaki desu ne.	きれいな葉書ですね。
Postal Service; Sending Items	4	I wrote a letter to my friend.	Tomodachi ni tegami o kakimashita.	友達に手紙を書きました。
Postal Service; Sending Items	3	Yesterday I wrote a letter to my friend.	Kino tomodachi ni tegami o kakimashita.	昨日友達に手紙を書きました。
Postal Service; Sending Items	6	I'm sending a small package to Tokyo.	Kozutsumi wo Tokyo ni okurimasu.	小包を東京に送ります。
At the Hotel; Activities	4	I'll take a bath at the hotel.	Hoteru de nyuyoku suru.	ホテルで入浴する。
Postal Service; Sending Items	6	I'm sending a letter to New York.	Tegami wo Nyuyoku e okurimasu.	手紙をニューヨークへ送ります。
Postal Service; Sending Items	6	I'm sending a small package to New York.	Kozutsumi o Nyuyoku e okurimasu.	小包をニューヨークへ送ります。
Postal Service; Questions	6	What's in the package?	Nakami wa nan desu ka?	中身は何ですか？
Postal Service; Describing Contents	6	A book.	Hon desu.	本です。
Preferences; Questions	7	What do you like?	Nani ga suki desu ka.	何が好きですか。
Food & Drink; Questions	8	What would you like to drink?	Nani o nomimasu ka.	何を飲みますか。
Postal Service; Sending Items	5	I'll send clothes home.	Fuku wo ie ni okuru.	服を家に送る。
Hobbies; Reading	2	I'm reading a book.	hon o yonde imasu.	本を読んでいます。
Hobbies; Reading	2	This book is pretty funny.	Kono hon wa totemo omoshiroi desu.	この本はとても面白いです。
Asking Price; Shopping	9	How much is this book?	Kono hon wa ikura desu ka.	この本はいくらですか。
Location; Questions	10	Where?	Doko?	どこ？
Money Exchange; Making a Request	8	I’d like to change US dollars into yen.	Bei doru o en ni kaetai desu.	米ドルを円に替えたいです。
Money Exchange; Making a Request	8	I'd like to change Canadian dollars into yen.	Canada doru o en ni kaetai desu.	カナダドルを円に替えたいです。
Money Exchange; Making a Request	8	I'd like to change Australian dollars into yen.	Osutoraria doru o en ni kaetai desu.	オーストラリアドルを円に替えたいです。
Money Exchange; Making a Request	8	I'd like to change Euros into yen.	Yuro o en ni kaetai desu.	ユーロを円に替えたいです。
Money Exchange; Asking the Rate	8	How many yen is it to one dollar?	Ichi-doru wa nan-en desu ka.	1ドルは何円ですか。
Money Exchange; Making a Request	7	I'd like to change Canadian dollars into Australian dollars.	Kanada doru wo Osutoraria doru ni kaetai desu.	カナダドルをオーストラリアドルに替えたいです。
Buying Items; Shopping	7	Please give me a 1,000-yen telephone card.	Sen-en no tereka o kudasai.	千円のテレカをください。
Buying Items; Shopping	7	Please give me a 5,000-yen telephone card.	Go-sen-en no tereka o kudasai.	五千円のテレカをください。
Buying Items; Shopping	7	Can I have a one thousand yen telephone card, please?	Sen-en no tereka wo kudasai.	千円のテレカをください。
Stating Price; Money	9	It's five thousand yen.	Go sen-en desu.	五千円です。
Counting; People	9	Two adults.	Otona ni mei.	大人二名。
Counting; People	8	Three children.	Kodomo san mei.	子供三名。
Life Stages; Common Phrases	1	I turned twenty. I'm an adult now.	Hatachi desu. Otona ni narimashita.	二十歳です。大人になりました。
General; Family	3	This is my child.	Kore wa watashi no kodomo desu.	これは私の子供です。
Counting; People	10	How many people in your party?	Nan-mei desu ka.	何名ですか。
Transportation; Tickets	5	This ticket can be used nationwide.	Kono kippu wa zenkokukyotsu desu.	この切符は全国共通です。
Hobbies; Movies	4	I watch a dubbed movie.	Fukikae eiga wo miru.	吹き替え映画を見る。
Hobbies; Movies	4	I watch movies without subtitles.	Jimaku nashi de eiga wo miru.	字幕なしで映画を見る。
Counting; People	8	Four senior tickets, please.	Shinia yon-mei kudasai.	シニア四名ください。
Life Stages; Common Phrases	1	I became a high school student.	Kokosei ni natta.	高校生になった。
General; Family	2	My daughter is a junior high school student.	Watashi no musume wa chugakusei desu.	私の娘は中学生です。
Counting; People	10	One person.	Ichi mei.	一名。
Counting; People	10	Two people.	Ni mei.	二名。
Counting; People	10	Three people.	San mei.	三名。
Counting; People	9	Four adults.	Otona yon mei.	大人四名。
Counting; People	8	Two adults for Spiderman.	Supaidaman otona ni mei.	スパイダーマン大人二名。
Common Phrases; General	4	Used commonly nationwide.	Zenkoku kyotsu.	全国共通。
Cell Phone; Renting	7	I’d like to rent a cell phone.	Keitai o karitai desu.	携帯を借りたいです。
Cell Phone; Renting	6	Which model would you like?	Dono kishu ga hoshii desu ka?	どの機種が欲しいですか？
Cell Phone; Renting	6	Please add minutes.	Tsuwa jikan o tsuika shite kudasai.	通話時間を追加してください。
Cell Phone; Renting	5	You have ten minutes left on your phone.	Nokori no tsuwa jikan wa ju-ppun.	残りの通話時間は十分。
Cell Phone; Renting	7	Please give me a charger.	Judenki o kudasai.	充電器をください。
Common Phrases; Ownership	5	That's my cellular phone.	Are wa watashi no keitai denwa desu.	あれは私の携帯電話です。
Duration; Telling Time	5	It's about ten minutes from my house to the station.	Ie kara eki made juppun kurai desu.	家から駅まで十分くらいです。
Cell Phone; Renting	5	I have 1 minute remaining to call.	Tsuwa jikan no nokori wa ippun desu.	通話時間の残りは一分です。
Common Phrases; Desires	5	I want money.	O-kane ga hoshi desu.	お金が欲しいです。
Cell Phone; Renting	7	I'd like this model.	Kono kishu ga hoshi desu.	この機種が欲しいです。
Information; Asking for Assistance	10	Do you have an English information guide?	Eigo no gaido wa arimasu ka?	英語のガイドはありますか？
Information; Asking for Assistance	8	Do you have a Spanish information guide?	Supeingo no gaido wa arimasu ka?	スペイン語のガイドはありますか？
Information; At a Restaurant	10	Do you have an English menu?	Eigo no menyu wa arimasu ka?	英語のメニューはありますか？
Comprehension; Language Help	10	Do you understand English?	Eigo ga wakarimasu ka.	英語が分かりますか。
Allergies; Health	9	I have allergies.	Arerugi ga arimasu.	アレルギーがあります。
Ability; Language Help	5	I speak Chinese.	Watashi wa chugokugo o hanashimasu.	私は中国語を話します。
Ability; Language Help	5	Can you speak Korean?	Kankokugo wo hanasemasu ka.	韓国語を話せますか。
Information; At a Restaurant	10	Can you give me an English menu?	Eigo no menyu o kudasai.	英語のメニューをください。
Information; Asking for Assistance	8	Do you have a Chinese info guide?	Chugokugo no gaido wa arimasu ka?	中国語のガイドはありますか？
Asking How to Eat; Food	8	How do you eat this?	Tabekata wa?	食べ方は？
Instructions; Food	7	Dip it in soy sauce.	Shoyu ni tsukeru.	醤油につける。
Instructions; Food	7	Dip it in the broth.	Tsuyu ni tsukeru.	つゆにつける。
Instructions; Food	7	Put mayonnaise on it.	Mayonezu o tsukeru.	マヨネーズをつける。
Instructions; Food	7	Pour sauce on it.	Sosu o kakeru.	ソースをかける。
Asking How to Eat; Food	8	Please teach me how to eat this.	Kono tabekata o oshiete kudasai.	この食べ方を教えてください。
Condiments; Food	8	Where is the sauce?	Sosu wa doko ni arimasu ka.	ソースはどこにありますか。
Condiments; Food	8	Could you pass me the pepper?	Kosho wo totte kudasai.	胡椒をとってください。
Condiments; Food	7	Is this sugar or salt?	Kore wa sato desu ka. Shio desu ka.	これは砂糖ですか。塩ですか。
Condiments; Food	7	How much is the mustard?	Masutado wa ikura desu ka.	マスタードはいくらですか。
Condiments; Food	5	I put ketchup onto a hotdog.	Kechappu wo hottodotgu ni tsukeru.	ケチャップをホットドッグにつける。
Condiments; Food	6	I love mayonnaise.	Mayonezu ga daisuki desu.	マヨネーズが大好きです。
Condiments; Food	6	You need broth for buckwheat noodles.	O-osba niwa tsuyu ga hitsuyo desu.	お蕎麦にはつゆが必要です。
Condiments; Food	7	I dip the sashimi into soy sauce.	O-sashimi ni syoyu wo tsukeru.	お刺身に醤油をつける。
Condiments; Food	8	Could you pass me the soy sauce?	Shoyu o totte kudasai.	醤油をとってください。
Condiments; Food	7	I pour sauce on top of the okonomiyaki.	Okonomiyaki ni sosu wo kakeru.	お好み焼きにソースをかける。
Vegetarianism; Dietary Needs	9	I’m a vegetarian.	Watashi wa bejitarian desu.	私はベジタリアンです。
Restrictions; Dietary Needs	9	I don’t eat meat.	Niku wa tabemasen.	肉は食べません。
Restrictions; Dietary Needs	9	I don’t eat eggs.	Tamago wa tabemasen.	卵は食べません。
Restrictions; Dietary Needs	9	I don’t eat fish.	Sakana wa tabemasen.	魚は食べません。
Asking About Ingredients; Dietary Needs	9	Does this contain meat?	Niku wa haitte imasu ka?	肉は入っていますか？
Asking About Ingredients; Dietary Needs	9	Does it contain fish?	Sakana wa haitte imasu ka?	魚は入っていますか？
Asking About Ingredients; Dietary Needs	9	Does it contain eggs?	Tamago wa haitte imasu ka?	卵は入っていますか？
Restrictions; Dietary Needs	9	I don't eat dairy products.	Nyuseihin wa tabemasen.	乳製品は食べません。
Introductions; Nationality	4	I'm Japanese.	Watashi wa nihonjin desu.	私は日本人です。
Vegetarianism; Dietary Needs	9	I am a vegetarian.	Watashi wa saishokushugisha desu.	私は菜食主義者です。
Identification; Food	7	This is meat.	Kore wa niku desu.	これは肉です。
Restrictions; Dietary Needs	8	I don't eat meat. I eat fish.	Niku wa tabemasen. Sakana wa tabemasu.	肉は食べません。魚は食べます。
Preferences; Food	7	I don't like eggs.	Tamago wa suki ja arimasen.	卵は好きじゃありません。
Preferences; Food	7	I like fish.	Sakana wa suki desu.	魚は好きです。
Asking About Ingredients; Dietary Needs	9	Does it contain a dairy product?	Nyuseihin wa haitte imasu ka.	乳製品は入っていますか？
Identification; Food	7	Milk and cheese are dairy products.	Gyunyu to chizu wa nyuseihin desu.	牛乳とチーズは乳製品です。
Restrictions; Dietary Needs	8	I don't eat (anything).	Tabemasen.	食べません。
Emergency; Calling for Help	10	Please help me.	Tasukete kudasai.	助けてください。
Emergency; Calling for Help	10	Please call the police.	Keisatsu o yonde kudasai.	警察を呼んでください。
Emergency; Calling for Help	10	Please dial 110. (Please call the police.)	Hyaku to ban onegai shimasu.	110番お願いします。
Emergency; Calling for Help	10	Somebody help!	Dare ka, tasukete!	誰か、助けて！
Emergency; Calling for Help	10	Please call an ambulance!	Kyukyusha wo yonde kudasai!	救急車を呼んでください！
Actions; Emergency	9	I'll call 110.	Hyakutoban suru.	110番する。
Introductions; Formal	6	Pleased to meet you.	Yoroshiku onegai shimasu.	よろしくお願いします。
Emergency; Fire	10	There's a fire! Please call 119.	Kaji desu. 119ban wo onegai shimasu.	火事です。119番をお願いします。
Actions; Emergency	9	Call the police.	Hyaku to ban suru.	110番する。
Emergency; Providing Information	8	My name is...	Watashi no namae wa...	私の名前は...
Emergency; Providing Information	8	The address is...	Jusho wa...	住所は...
Emergency; Providing Information	9	Where?	Doko?	どこ？
Emergency; Fire	10	Fire!	Kaji!	火事！
Medical Assistance; Health	9	Please call a doctor.	Isha o yonde kudasai.	医者を呼んでください。
Medical Assistance; Health	10	Please call an ambulance.	Kyukyusha o yonde kudasai.	救急車を呼んでください。
Locations; Health	9	Where is the pharmacy?	Yakkyoku wa doko desu ka?	薬局はどこですか？
Symptoms; Health	8	Do you have diarrhea?	Geri shite imasu ka?	下痢していますか？
Transportation; Asking for Directions	10	Where is the taxi stand?	Takushinoriba wa doko ni arimasu ka.	タクシー乗り場はどこにありますか。
Symptoms; Health	8	Do you have diarrhea?	Geri shite imasu ka.	下痢していますか。
Health; Pain / Ailments	9	My stomach hurts.	Onaka ga itai desu.	お腹が痛いです。
Health; Pain / Ailments	9	My head hurts.	Atama ga itai desu.	頭が痛いです。
Illness; Health	8	I have a cold.	Kaze o hiite imasu.	風邪をひいています。
Symptoms; Health	8	I have a fever.	Netsu ga arimasu.	熱があります。
Symptoms; Health	8	I have diarrhea.	Geri o shite imasu.	下痢をしています。
Health; Pain / Ailments	8	I have a sore throat.	Nodo ga itai desu.	喉が痛いです。
Actions; Health (Body Parts)	2	I bend my elbow.	Hiji wo mageru.	肘を曲げる。
Instructions; Requests	4	Please raise your hand.	Te o agete kudasai.	手を挙げてください。
Health (Body Parts); Injury	7	I broke my wrist.	Tekubi wo orimashita.	手首を折りました。
Health (Body Parts); Injury	7	I broke my finger.	Yubi o kossetsu shita.	指を骨折した。
Health (Body Parts); Pain	8	I have chest pain.	Mune ga itai desu.	胸が痛いです。
Health (Body Parts); Pain	8	My back hurts.	Senaka ga itai desu.	背中が痛いです。
Health (Body Parts); Pain	8	My lower back hurts.	Koshi ga itai desu.	腰が痛いです。
Actions; Common Phrases	1	The parent spanked the child.	Oya ga kodomo no o-shiri wo tatakimashta.	親が子供のお尻を叩きました。
Sensations; Health (Body Parts)	7	My leg has fallen asleep.	Ashi ga shibiremashita.	足が痺れました。
Sensations; Health (Body Parts)	6	My knees are shaking.	Hiza ga furuete imasu.	膝が震えています。
Sensations; Health (Body Parts)	7	My ankles are tired.	Ashikubi ga tsukaremashita.	足首が疲れました。
Health (Body Parts); Pain	8	My thighs hurt.	Futomomo ga itai desu.	太ももが痛いです。
Health (Body Parts); Ailments	7	I get a cramp in my calf.	Fukurahagi wo tsuru.	ふくらはぎを吊る。
Health (Body Parts); Injury	7	I injured my foot.	Ashi o kega shita.	足を怪我した。
Actions; Health (Body Parts)	2	I massage my toes.	Ashi no yubi wo massaji suru.	足の指をマッサージする。
Descriptions; Body	2	She has slim arms.	Kanojo no ude wa hosoi desu.	彼女の腕は細いです。
Health (Body Parts); Pain	8	My neck hurts.	Kubi ga itai desu.	首が痛いです。
Health (Body Parts); Injury	7	I injured my shoulder.	Kata wo kega shimashita.	肩を怪我しました。
Illness; Health	8	I got an upset stomach.	O-naka o kowashita.	お腹を壊した。
Health; Pain / Ailments	9	I have a headache.	Atama ga itai desu.	頭が痛いです。
Illness; Health	8	Do you have a cold?	Kaze desu ka.	風邪ですか。
Illness; Health	8	I caught a cold.	Kaze wo hita.	風邪をひいた。
Common Phrases; Observations	1	They have too much garbage in their garden.	Karera no niwa ni wa gomi ga takusan arimasu.	彼らの庭にはゴミがたくさんあります。
Ailments; Health	5	I have many pimples.	Nikibi ga takusan aru.	ニキビがたくさんある。
Common Phrases; Feelings	4	I don't know what to do.	Nani o sureba ii no ka wakaranai.	何をすればいいのか分からない。
General; Health	6	I often get sick.	Yoku byoki wo suru.	よく病気をする。
Health (Body Parts); Face	5	My forehead is sweating.	Hitai ni ase wo kaku.	額に汗をかく。
Health (Body Parts); Face	6	Get me some eye drops on your way home.	Kaeru toki ni me-gusuri o katte kite.	帰るときに目薬を買ってきて。
Health (Body Parts); Face	8	My eyes are itchy.	Me ga kayui desu.	目が痒いです。
Compliments; Idioms	1	To feel proud from getting many compliments.	Takusan homerarete, hana ga takaku naru.	たくさん褒められて、鼻が高くなる。
Health (Body Parts); Face	8	My nose is itchy.	Hana ga kayui desu.	鼻が痒いです。
Actions; Common Phrases	1	To put lipstick on one's mouth.	Kuchi ni kuchibeni o nuru.	口に口紅を塗る。
Descriptions; Body	2	That child has a big mouth.	Ano kodomo no kuchi wa oki desu.	あの子供の口は大きいです。
Descriptions; Body	2	That person has thick lips.	Ano hito no kuchibiru wa atsui.	あの人の唇は厚い。
Health (Body Parts); Face	8	I have an earache.	Mimi ga itai desu.	耳が痛いです。
Health (Body Parts); Face	6	To dislocate one's jaw.	Ago ga hazureru.	顎が外れる。
Descriptions; Body	2	My dad has a beard.	Chichi wa ago ni hige ga arimsu.	父は顎にひげがあります。
Descriptions; Body	3	The child's cheeks are red.	Kodomo no hoho ga akai desu.	子供の頬が赤いです。
Descriptions; Body	2	Sumo wrestlers' stomachs are big.	O-sumo-san no ibukuro wa oki desu.	お相撲さんの胃袋は大きいです。
Health; Pain / Ailments	8	Ouch!	Itai!	痛い！
Health (Body Parts); Pain	8	My forehead hurts.	Hitai ga itai desu.	額が痛いです。
Health (Body Parts); Pain	8	My eyes hurt.	Me ga itai desu.	目が痛いです。
Health (Body Parts); Pain	8	My nose hurts.	Hana ga itai desu.	鼻が痛いです。
Health (Body Parts); Pain	8	My mouth hurts.	Kuchi ga itai desu.	口が痛いです。
Health (Body Parts); Pain	8	My lips hurt.	Kuchibiru ga itai desu.	唇が痛いです。
Health (Body Parts); Pain	8	My ears hurt.	Mimi ga itai desu.	耳が痛いです。
Health (Body Parts); Pain	8	My chin hurts.	Ago ga itai desu.	顎が痛いです。
Health (Body Parts); Pain	8	My cheeks hurt.	Hoho ga itai desu.	頬が痛いです。
Health (Body Parts); Pain	8	My shoulders hurt.	Kata ga itai desu.	肩が痛いです。
Health (Body Parts); Pain	8	My neck hurts.	Kubi ga itai desu.	首が痛いです。
Health (Body Parts); Pain	8	My arms hurt.	Ude ga itai desu.	腕が痛いです。
Health (Body Parts); Pain	8	My elbows hurt.	Hiji ga itai desu.	肘が痛いです。
Health (Body Parts); Pain	8	My hands hurt.	Te ga itai desu.	手が痛いです。
Health (Body Parts); Pain	8	My wrists hurt.	Tekubi ga itai desu.	手首が痛いです。
Health (Body Parts); Pain	8	My fingers hurt.	Yubi ga itai desu.	指が痛いです。
Health (Body Parts); Pain	8	My chest hurts.	Mune ga itai desu.	胸が痛いです。
